num,russian,hebrew,german,swedish,norwegian,dutch,ukranian,belarusian,chinese,finnish,estonian,english,hindi,spanish,french,arabic,portuguese,bengali,urdu,indonesian,turkish,vietnamese
1,один,אחד,eins,ett,en,één,один,адзін,一,yksi,üks,one,एक,uno,un,واحد,um,এক,ایک,satu,bir,một
2,два,שתיים,zwei,två,to,twee,два,два,二,kaksi,kaks,two,दो,dos,deux,اثنان,dois,দুই,دو,dua,iki,hai
3,три,שלוש,drei,tre,tre,drie,три,тры,三,kolme,kolm,three,तीन,tres,trois,ثلاثة,três,তিন,تین,tiga,üç,ba
4,четыре,ארבע,vier,fyra,fire,vier,чотири,чацвёрты,四,neljä,neli,four,चार,cuatro,quatre,أربعة,quatro,চার,چار,empat,dört,bốn
5,пять,חמש,fünf,fem,fem,vijf,п’ять,пяць,五,viisi,viis,five,पाँच,cinco,cinq,خمسة,cinco,পাঁচ,پانچ,lima,beş,năm
6,шесть,שש,sechs,sex,seks,zes,шість,шэсць,六,kuusi,kuus,six,छह,seis,six,ستة,seis,ছয়,چھ,enam,altı,sáu
7,семь,שבע,sieben,sju,sju,zeven,сім,сем,七,seitsemän,seitse,seven,सात,siete,sept,سبعة,sete,সাত,سات,tujuh,yedi,bảy
8,восемь,שמונה,acht,åtta,åtte,acht,вісім,восем,八,kahdeksan,kaheksa,eight,आठ,ocho,huit,ثمانية,oito,আট,آٹھ,delapan,sekiz,tám
9,девять,תשע,neun,nio,ni,negen,дев’ять,девяць,九,yhdeksän,üheksa,nine,नौ,nueve,neuf,تسعة,nove,নয়,نو,sembilan,dokuz,chín
10,десять,עשר,zehn,tio,ti,tien,десять,дзесяць,十,kymmenen,kümme,ten,दस,diez,dix,عشرة,dez,দশ,دس,sepuluh,on,mười
11,одиннадцать,אחת עשרה,elf,elva,elleve,elf,одинадцять,адзінаццаць,十一,yhdestoista,üksteist,eleven,ग्यारह,once,onze,أحد عشر,onze,এগারো,گیارہ,sebelas,on bir,mười một
12,двенадцать,שתים עשרה,zwölf,tolv,tolv,twaalf,дванадцять,дванаццаць,十二,kahdestoista,kaksteist,twelve,बारह,doce,douze,اثنا عشر,doze,বারো,بارہ,dua belas,on iki,mười hai
